작성자,평점,작성일,내용,공감수,답글,국가
Alyson Weber,4,2026-08-15 10:49:35,"For tracking photocards, this app is great! However, I wish merch wasn't also tracked as photocards. It has a merch section, but almost all merch is loaded in the photocard (like pins, stickers, magnets, etc.). It looks like there aren't enough categories in the merch section to put these types of items in the merch section. Hopefully this capability is added in the future and that all the merch in the PC section can be moved over.",0,,us
Vlynchard,1,2026-08-14 18:47:29,"why not make it possible to watch an ad to scan a card, then you would still get paid. 15 total scans for your account is crazy and sorting through cards manually is a slog. obviously that's on purpose so people will pay the insane subscription price but work with me here",0,,us
Aletheia Chandra,5,2026-08-13 03:04:25,Haven’t found any problems so far! It’s simple and really useful for organizing my collection lists and wishlists. Love how easy it is to use!,0,,us
Happy Live,4,2026-08-11 21:16:25,SO GOOD :DDD,0,,us
Zayne Olson,4,2026-08-10 09:03:09,only thing that would make it better is to allow for multiple biases to be selected. My ult is a full group but in another group I have a single bias.,0,,us
Charlie Poole,5,2026-08-08 11:01:41,amazing for keeping track of your collection,0,,us
flower bean,1,2026-08-07 13:19:49,"Unpleasant interface, lots of bugs, sometimes it works sometimes it doesn't. People get special treatment. People are terrible and there's bullying and nothing is done about it. Scammers. The creators of the site are kind of terrible. It has its uses but overall it's no better than the mean girl spaces of instagram and twitter.",0,,us
Kassandra Chubb,1,2026-08-07 02:28:05,I thought you would be able to save up and put them in your binder for free. No you have to pay for it and scan. I'm not wasting money on it,0,,us
Josiee Davis,5,2026-08-05 21:36:00,I absolutely love this app it helps me organise my photocards into order for my physical binder. I recommend this app to everyone check it out It's awesome 💜,0,,us
LC,4,2026-08-03 07:24:59,"I really like Bias Room for keeping my collection organized, but I also liked it for posting and finding new people. However, ever since a recent update where social is opened directly to the ""hot"" option, I no longer get interactions on my posts, nor do other people who have small followings. I personally liked it before this update because I actually interacted with the community, and Bias Room didn't feel like just another social media app.",0,,us
Yeonjun Choi,3,2026-07-29 13:38:58,"it's a bit hard to understand, but it's really cool and fun",0,,us
Kelly Adomaitis,3,2026-07-28 21:36:04,"I like being able to access my collection when I am out and my binder isn't available. I also don't need to sift through my templates if I am in a rush. However, I do have some issues. 1. The price of the sub is high. Another app that covers MULTIPLE tcgs is 8/m 60/y and has way better accuracy moneywise and scanning. This being 6/m 50/y is too much for what it is. 2. I have to clear the cache way too often or I get major glitches. 3. Best used as a super basic database. I prefer my templates.",0,,us
Alkmini Goni,4,2026-07-27 08:07:20,it's absolutely perfect but it has way to many updates,0,,us
Me,3,2026-07-27 04:05:59,"I love this app and is useful to keep track and organize your collection, but just today after the new update It looks like the app isn't compatible to my device anymore! Really sad but I can still use the desktop version",0,,us
Jiniretchaos,5,2026-07-26 23:54:35,"absolutely love it! it's so fun and easy to organize everything, the community on here is super sweet and the daily games are fun! and there are no ads, which is AMAZING! if they started adding ads I would probably stop using the app, honestly.",1,,us
Erin Zino,5,2026-07-26 11:58:54,the best tool for organising my collection,0,,us
Neim Rama,5,2026-07-20 18:46:18,its sooo good i recommend,3,,us
Cathmay Lipira,5,2026-07-12 04:40:00,😁 Fun,0,Glad you like it! :),us
Nova Koffel,5,2026-07-10 00:41:38,perfect app for archiving your collection online <3 the devs are all so sweet and love hearing feedback! also no ads and completely free unless you want to buy pro! but it's not a requirement to use the app!,0,"Thank you so much for the 5-star review!!! And yes, we only PRO-gate convenience features — anyone should be able to use Bias Room free!",us
Ulus,4,2026-07-09 18:02:54,"overall its one of the best apps for photocards out there, but it crashes a lot even after restarting and redownloading 😔 also i wish there was more pages to add in the free binders since a lot of people here collect way more pcs than could fit in 15 pages or 30 in both free binders 🥹 oh and also it would be nice if you added a section for otw photocards! i hate the way i have to search them up again when they arrive 😭😭 OH AND ALSO it would be nice if you seperated inclusions from photocards",4,,us
Irina-!,5,2026-07-06 10:11:23,"GURL I LOVE THIS APP! I'M A STRAYKIDS & ENHYPEN FAN, AND I CAN FINALLY GET MY WISHLIST PHOTOCARD!!",1,,us
inpirati0n,5,2026-07-05 18:04:13,"amazing app !! easy to use, pro is not needed for good service, and you can even buy / sell photocards off it !!",1,,us
Elly,5,2026-07-05 17:45:05,Best app ever btw,0,,us
Anaya Lin,3,2026-06-27 22:33:54,it is a really nice app if u wanna clear out ur collection or sale or buy photocards....... But if U wanna sale here it takes time to get noticed,0,,us
Zaj,5,2026-06-27 13:44:35,Our idols history and legacy will be remembered with the help of Biasroom.,0,Let the legacy go on!,us
Jessie Wooten,5,2026-06-25 03:15:55,I love this app.,0,,us
Shahrazad Polk,1,2026-06-24 01:19:57,"you only get 2 binders. I've been collecting for over 10 years no way that's enough, and I'm not about to pay for something I can do myself. ""Bias Room is a free community platform for K-pop photocard collectors."" what happened to free? or is that a fib. I'll just delete and go back to what I've been doing for years.",3,,us
Dara Manka,5,2026-06-20 04:41:38,love,0,,us
Nathan Straka,5,2026-06-15 11:02:49,"I'm having a great time scanning in my collection, uploading PCs and organizing my digital binders. I find the experience smooth and not stressful at all so far :)",0,,us
