keyword,created_at,author_handle,text,like_count,repost_count,post_uri
#photocard,2026-08-11T16:00:18.471Z,hdstore.bsky.social,"STRAY KIDS WORLD TOUR DISTRICT 9 UNLOCK IN SEOUL Bluâray Photocard Booklet KPOP

https://harada1029.github.io/r/?pf=bluesky&acc=hd_popidol_jp&k=img&i=364887203201&u=https%3A%2F%2Fwww.ebay.com%2Fitm%2F364887203201

#StrayKids #DISTRICT #Bluray #Photocard #KPOP #ebay #japan #america #instocknow",1,1,at://did:plc:hvvzvnqdsh3iniu5syjlxwjs/app.bsky.feed.post/3mssycmujgy2w
#photocard,2026-08-10T16:53:20.179Z,r-twist.bsky.social,"#Sunna #photocard! This is a request from Hoyolab, but i've also been meaning to make ""photocards"" of the angels! #Fanart #AngelofDelusion #AoD #Zenless #ZZZ",1,0,at://did:plc:kfytq2zls6jl542jm3csvvmi/app.bsky.feed.post/3msqks7ysns27
#photocard,2026-08-10T02:31:42.068Z,rankirakira.bsky.social,"Need something in the background while you draw or make a photocard! Why not listen to me make a MattJay Photocard while watching Nirvanna the Band the Show The Buffet on YouTube?

#nirvannathebandtheshow #ntbts #mattjay #photocard 

youtu.be/thwMiLP_ZoE",2,0,at://did:plc:5ezc34zmcq7ivlworxw4dsek/app.bsky.feed.post/3msp2nyypzs2m
#photocard,2026-08-10T02:25:46.574Z,tarubunart.bsky.social,Ignis photocard before and after 😌 (I didn’t use all the stickers I set aside) #photocard,8,1,at://did:plc:ycbmfbw4wgohyvfxbiyit3un/app.bsky.feed.post/3msp2d4eg3c2e
#photocard,2026-08-08T15:12:09.966Z,mistyewe.bsky.social,wip of a photocard of my silly little chalant freak <3 #oc #queerartist #humanartist #photocard #ocdrawing,3,0,at://did:plc:hntsi6ok2ifxkmdvf5pysbww/app.bsky.feed.post/3msle7lnyzs2h
#photocard,2026-08-07T19:26:14.574Z,tarubunart.bsky.social,Made a cyclops for a friend and made a couple photocard set of my sister and her husband that fit together! #photocard,6,1,at://did:plc:ycbmfbw4wgohyvfxbiyit3un/app.bsky.feed.post/3msjbwzpda22l
#photocard,2026-08-07T19:20:07.474Z,tarubunart.bsky.social,"Here’s my sticker collection atm… a sticker binder overfilled with sticker sheets, misc large sheets, several small booklets… I really don’t need more but they’re so fun to collect themselves #photocard",5,0,at://did:plc:ycbmfbw4wgohyvfxbiyit3un/app.bsky.feed.post/3msjbm2fwmk2l
#photocard,2026-08-07T19:11:51.678Z,tarubunart.bsky.social,#photocard,3,0,at://did:plc:ycbmfbw4wgohyvfxbiyit3un/app.bsky.feed.post/3msjb5ifmbs2l
#photocard,2026-08-07T19:11:36.965Z,tarubunart.bsky.social,#photocard,2,0,at://did:plc:ycbmfbw4wgohyvfxbiyit3un/app.bsky.feed.post/3msjb52ayv22l
#photocard,2026-08-07T19:11:13.275Z,tarubunart.bsky.social,Here’s more photocards I’ve done in the past. Loki got two 😌💚 and then various characters I really like-including my pet rabbit and my BTS bias on the bottom #photocard,11,0,at://did:plc:ycbmfbw4wgohyvfxbiyit3un/app.bsky.feed.post/3msjb46yb5k2l
#photocard,2026-08-07T18:55:27.470Z,tarubunart.bsky.social,AAAA THESE ARE SO CUTE I’m sure everyone loved them!! I made two of my DnD chars on the left side (I made two frames for my tiefling lmao guess who’s the favorite) and the two on the right is for an OC project w me and my friends #photocard,3,0,at://did:plc:ycbmfbw4wgohyvfxbiyit3un/app.bsky.feed.post/3msja7yz42k2l
#photocard,2026-08-06T16:24:52.469Z,tarubunart.bsky.social,Made photocards for my three Overwatch loves. Dont mind Genji’s random Japanese stickers 😌 (maybe I should start a tag for my photocards?? #photocard),9,1,at://did:plc:ycbmfbw4wgohyvfxbiyit3un/app.bsky.feed.post/3msghdtvt2s2u
#photocard,2026-08-02T18:24:55.068Z,sopeachy99.bsky.social,"8th #artfight attack!!!𖥔 ݁ ˖ִ🛸༄˖°🎤๋࣭ 
For @teasetmonster.bsky.social 

[ #teamcomedy #artfight26 #idol #photocard ] 
༘⋆📼˚ ༘ ೀ⋆｡˚༘⋆📼˚ ༘ ೀ⋆｡˚༘⋆📼˚ ༘ ೀ⋆｡˚",5,2,at://did:plc:4tmp6rfvphvs5foarh2cs3qk/app.bsky.feed.post/3ms4m6qxwv22l
#photocard,2026-07-23T15:49:48.679Z,spidereyez.bsky.social,"Did this to do those ""matching"" photo cards lol (I'm doing more & doing the whole matching pfp) 

#loveanddeepspace #loveanddeepspacemc #loveanddeepspacevalko #bringvalkoback #bringbackvalko #cosplay #photocard",5,0,at://did:plc:yjtuxsbfmjkk63qhgdmktkrp/app.bsky.feed.post/3mrd7st27bc22
#photocard,2026-07-21T20:05:14.366Z,moonrimuvi.bsky.social,"Photocard Commission for Vulpeculasz (Vulp), Florianfes, 
Khopper, @youkaihito.bsky.social  (Hito) and chococuffs (Haysie)!!

#commission #illustration #photocard",2,1,at://did:plc:m2pjciqe3pkjebapsf3si6om/app.bsky.feed.post/3mr6m6upvs22o
#photocard,2026-07-21T16:09:16.573Z,kembla.bsky.social,"Photocard - OC TONIO
Tonio con pijama 💙

#oc #illustration #yaoi #photocard #occontent #España",3,0,at://did:plc:tztrulqbgvwrbujn2acdw7wd/app.bsky.feed.post/3mr66z6mb522j
#photocard,2026-07-21T15:24:46.964Z,ateliermelty.bsky.social,"A new way to support your favourite horse (or non horse..?) entity? No wei!! Don’t forget to hit me up at AMP Manchester to get one of the first batch of Uma inspired PC holders!!! 🐴🧲🐠🧊

#umamusume #oshikatsu #artistalley #photocard",3,1,at://did:plc:o3rrsm6q4gqd4neyatnt6ss7/app.bsky.feed.post/3mr64jqlrp22d
#photocard,2026-07-20T16:00:19.970Z,hdstore.bsky.social,"BTS Jimin FACE Japan JPFC Limited Edition Lucky Draw Elected Official Photo Card

https://harada1029.github.io/r/?pf=bluesky&acc=hd_store_jp&k=img&i=126059277861&u=https%3A%2F%2Fwww.ebay.com%2Fitm%2F126059277861

#BTS #Jimin #FACE #PhotoCard #LuckyDraw #ebay #japan #america #instocknow",3,0,at://did:plc:hvvzvnqdsh3iniu5syjlxwjs/app.bsky.feed.post/3mr3o2g7ckr2o
#photocard,2026-07-20T12:25:49.969Z,cinnahon.bsky.social,"Thinking about making this a YCH......

--

#digitalart #originalart #originalcharacter #photocard",4,1,at://did:plc:kk2zsqlmbcbge3vnadpjhbxa/app.bsky.feed.post/3mr3c2jng4c2w
#photocard,2026-07-17T16:38:33.670Z,citrusfizz.bsky.social,"making a poca holder! 14USD +ship! lmk if interested! (might make a shaker with this design too maybe..)

double sided full art, comes with a keychain, 10cm x 7cm

pre-order here! ko-fi.com/s/7f7ed8ff9a
-
[ #poca #photocard #cute #smallbusiness #pocaholder #smallartist #icecreamsoda #art #artmerch ]",3,0,at://did:plc:lekln73fon4ypw5xj4leedzy/app.bsky.feed.post/3mqu6rnx4cc2c
#photocard,2026-07-15T04:29:45.270Z,lemmonreef.bsky.social,"recent photocard comm for @/Yeilxz Supra 

#photocard #slime #commission",10,1,at://did:plc:jqqras5jc2edi26pbacvdil5/app.bsky.feed.post/3mqnv4sifg22v
#photocard,2026-07-13T14:00:24.578Z,kembla.bsky.social,"Nueva ilustración - Photocard 
Oc Samuel 
#photocard #oc #digitalart #mangaart #yaoi",6,0,at://did:plc:tztrulqbgvwrbujn2acdw7wd/app.bsky.feed.post/3mqju3aokrk2g
#photocard,2026-07-01T04:00:30.019Z,hdstore.bsky.social,"Thank you for purchasing many Stray Kids goods today!

HD_PoPidol_Store Our ebay store has a variety of #straykids #goods.
We can deliver to all countries, so please feel free to place your order.

https://www.ebay.com/str/mtjapanstore

#hyunjin #photocard #ebay #japan #america #instocknow",0,0,at://did:plc:hvvzvnqdsh3iniu5syjlxwjs/app.bsky.feed.post/3mpkmxre7au2a
#photocard,2026-06-30T16:48:16.730Z,kjhartstudios.bsky.social,"acggoods.com/product/elf-...

#elf #girl #rainbow #fantasy #character #portrait #acggoods #photocard #onlineshopping #onlinestore #art #digitalart",2,0,at://did:plc:mlgioqvrptrlqnnjxwvgc3yb/app.bsky.feed.post/3mpjhfqascc2c
#photocard,2026-06-30T16:04:35.722Z,hdstore.bsky.social,"Stray Kids Hyunjin Official Photo Card Sticker THE SOUND Standard & A Version

You bought one at United States America today. We only have a few left in stock!

https://www.ebay.com/itm/364201591965

#StrayKids #Hyunjin #PhotoCard #Sticker #TheSound #ebay #japan #america #instocknow",0,0,at://did:plc:hvvzvnqdsh3iniu5syjlxwjs/app.bsky.feed.post/3mpjexmyehi26
#photocard,2026-06-29T02:18:24.264Z,ladyholmes.bsky.social,"Fiameta Briarhurst’s photo card. Huzzah!

My OG DnD character, mother, and bad ass wizard <3 Oh how she has endured these past 10 years. 

#fiametabriarhurst #dnd #dndoc #oc #digitalart #illustration #photocard #characterdesign #supporthumanartists #noai",19,4,at://did:plc:6rovpt2lqrye6kwvmdhb722n/app.bsky.feed.post/3mpfgcq2uh226
#photocard,2026-06-27T16:04:12.880Z,hdstore.bsky.social,"ATEEZ 3rd Mini Album THE WORLD EP PARADIGM CD First Limited Edition Photo Card

You bought one at United States America today. We only have a few left in stock!

https://www.ebay.com/itm/364196753645

#ATEEZ #TheWorld #MiniAlbum #PhotoCard #FirstLimitedEdition #ebay #japan #america #instocknow",1,0,at://did:plc:hvvzvnqdsh3iniu5syjlxwjs/app.bsky.feed.post/3mpbtk6t4th2x
#photocard,2026-06-27T01:24:41.968Z,spinktacular.bsky.social,"⚠️‼️ WARNING MUST ASK GF PERMISSION BEFORE LIKING (/j) ‼️⚠️

OC: @oddypng.bsky.social 

#photocard #oc",14,4,at://did:plc:wbcixivouqy3c7bxq4465ww5/app.bsky.feed.post/3mpacf7wgvk2d
#photocard,2026-06-26T11:26:42.571Z,markdaws.bsky.social,"I know almost nothing about Kpop but thought Id give it a chance, so lets check out everything that this pack can give.
One Beyond £1.25
youtu.be/of6K8aFZLt4
#KpopStarsPhotocardCollection #Kpop #Photocard #Lollypop #Review",0,0,at://did:plc:bmajxaxircequo77btolzawy/app.bsky.feed.post/3mp6tkz7wrk25
#photocard,2026-06-26T00:43:08.173Z,spinktacular.bsky.social,"SPEED DEMON ❤️‍🔥💛💚 

OC: @oddypng.bsky.social 

#photocard #oc",23,9,at://did:plc:wbcixivouqy3c7bxq4465ww5/app.bsky.feed.post/3mp5plyhvhs2a
#photocard,2026-06-21T16:04:06.261Z,hdstore.bsky.social,"SEVENTEEN DK FML Carat version mini album Fan Club CD Photocards File Binder Set

You bought one at United States America today. We only have a few left in stock!

https://www.ebay.com/itm/364434680184

#Seventeen #DK #FML #CaratVersion #Photocard #ebay #japan #america #instocknow",2,0,at://did:plc:hvvzvnqdsh3iniu5syjlxwjs/app.bsky.feed.post/3mosqqhuupi2h
#photocard,2026-06-21T16:01:04.273Z,istrovery.bsky.social,"photocards commission 
#digitalart #photocard #oc #commission #artmoots",8,1,at://did:plc:v46wkf2fepuqkhffntsa74ah/app.bsky.feed.post/3mosqkfwnqc2r
#photocard,2026-06-14T01:18:55.972Z,betsonbeedee.bsky.social,"Tamon B-Side Pop Up today💖 Had so much fun✨ His photo card is now in containment 🦑 

#tamonbside #popup #photocard",6,0,at://did:plc:xaxz3yom6rxphtustkn42gw4/app.bsky.feed.post/3mo7lymq6qc2w
#photocard,2026-06-13T16:54:39.767Z,ranebowstitches.bsky.social,#LeonKennedy #photocard I made for a friend for their birthday! I really enjoy how he came out~ #residentevil,0,0,at://did:plc:tucqpejxvlsoveydrxmdfdfv/app.bsky.feed.post/3mo6pt3p5kk2u
#photocard,2026-06-11T16:58:15.079Z,ladyholmes.bsky.social,"Next up on the photocard train is my sweet bun boy Snapdragon!!! <3

#photocard #oc #dndoc #dnd #rabbitfolk #viera #snapdragon #bunboy #cute #kawaii #supporthumanartists #noai #illustration #digitalart #pridemonth #druid",10,3,at://did:plc:6rovpt2lqrye6kwvmdhb722n/app.bsky.feed.post/3mnzp3u5ez22t
#photocard,2026-06-10T17:58:20.268Z,ladyholmes.bsky.social,"Made one of those decorative photo cards I’ve seen people make for their OCs. I hope I did it right. And because it’s Pride Month, I’ve included where Honey sits on the rainbow <3

#oc #honeygoldclover #photocard #illustration #digitalart #originalcharacter #faun #wildmage #dnd #pridemonth",11,3,at://did:plc:6rovpt2lqrye6kwvmdhb722n/app.bsky.feed.post/3mnxbygnme22n
#photocard,2026-06-05T16:58:47.361Z,tacoroach.bsky.social,"Normalize making photocard of your yumes

(Not a yume of mine, just an example)
#PhotoCard #Yumeshipping",0,0,at://did:plc:pj6iff52f4zqmh7itjexj6po/app.bsky.feed.post/3mnkmdfpfe22z
#photocard,2026-06-05T15:12:47.566Z,zirart.bsky.social,"Sorry for disappearing, I'm finally here to show you the last photocard in the series I made of Winx, and obviously, it had to be the Trix!
Who else loved these characters? ❤️💙💜
.
.
.
.
(agosto 2025)
#winx #trix #digitalart #fanart #cartoon #photocard #merch",16,4,at://did:plc:dyivlr6k4sxk25ng4elhatzy/app.bsky.feed.post/3mnkgfgffjs26
#photocard,2026-05-24T01:18:42.965Z,serknoire.bsky.social,"Chemists Photocard design - John Dalton and Dmitri Mendeleev

#artofserknoir #chemistry #historyofscience #photocard",0,0,at://did:plc:jnpxlpq4ui7pdpexifmejsgj/app.bsky.feed.post/3mmks6uccqs2o
#photocard,2026-05-21T17:56:44.260Z,zombieteddie.bsky.social,"I thought BlueSky might wanna see my ladies 🥰

#maidoutfit #purikura #bbnomula #meatcanyon #photocard #moistcr1tikal",1,0,at://did:plc:d62tv7dbvc45saayqfgdtllh/app.bsky.feed.post/3mmeylbut4s23
#photocard,2026-05-21T08:49:07.460Z,serknoire.bsky.social,"Chemists Photocard design - Marie Anne Lavoisier

#artofserknoir #chemistry #historyofscience #photocard",0,0,at://did:plc:jnpxlpq4ui7pdpexifmejsgj/app.bsky.feed.post/3mmdzxpeoss2t
#photocard,2026-05-20T11:06:05.684Z,serknoire.bsky.social,"Chemists Photocard design - Antoine Lavoisier

#artofserknoir #chemistry #historyofscience #photocard",1,0,at://did:plc:jnpxlpq4ui7pdpexifmejsgj/app.bsky.feed.post/3mmbr5kz6jc2z
