Group_Name,Member_Name_EN,Source
&TEAM,Maki,1차_Version_Name_Parsing
&TEAM,Yuma,1차_Version_Name_Parsing
&TEAM,Nicholas,1차_Version_Name_Parsing
&TEAM,Taki,1차_Version_Name_Parsing
&TEAM,Harua,1차_Version_Name_Parsing
&TEAM,Jo,1차_Version_Name_Parsing
&TEAM,Fuma,1차_Version_Name_Parsing
&TEAM,Ej,1차_Version_Name_Parsing
14U,Red,1차_Version_Name_Parsing
14U,Purple,1차_Version_Name_Parsing
14U,Emerald,1차_Version_Name_Parsing
1NB,Promo,1차_Version_Name_Parsing
1TEAM,This,1차_Version_Name_Parsing
1TEAM,Make,1차_Version_Name_Parsing
1TYM,Cassette,1차_Version_Name_Parsing
1TYM,For,1차_Version_Name_Parsing
1TYM,Time,1차_Version_Name_Parsing
1TYM,Mind,1차_Version_Name_Parsing
1TYM,All,1차_Version_Name_Parsing
1TYM,Nd,1차_Version_Name_Parsing
1TYM,Your,1차_Version_Name_Parsing
1TYM,Yo,1차_Version_Name_Parsing
1TYM,Fo,1차_Version_Name_Parsing
1TYM,Third,1차_Version_Name_Parsing
1TYM,Round,1차_Version_Name_Parsing
1TYM,One,1차_Version_Name_Parsing
1TYM,Once,1차_Version_Name_Parsing
257,Nemo,1차_Version_Name_Parsing
2AM,Jinwoon,1차_Version_Name_Parsing
2AM,Japan,1차_Version_Name_Parsing
2AM,Type,1차_Version_Name_Parsing
2AM,Album,1차_Version_Name_Parsing
2AM,Sd,1차_Version_Name_Parsing
2AM,Mqs,1차_Version_Name_Parsing
2EYES,Promo,1차_Version_Name_Parsing
2EYES,Album,1차_Version_Name_Parsing
2NE1,Box,1차_Version_Name_Parsing
2NE1,Testversion,1차_Version_Name_Parsing
2NE1,Vol,1차_Version_Name_Parsing
2NE1,Album,1차_Version_Name_Parsing
2NE1,Mono,1차_Version_Name_Parsing
2NE1,Signed,1차_Version_Name_Parsing
2NE1,Promotional,1차_Version_Name_Parsing
2NE1,Color,1차_Version_Name_Parsing
2PM,Korean,1차_Version_Name_Parsing
2PM,Thailand,1차_Version_Name_Parsing
2PM,Japan,1차_Version_Name_Parsing
2PM,Fanclub,1차_Version_Name_Parsing
3YE,Promo,1차_Version_Name_Parsing
4Minute,Malaysia,1차_Version_Name_Parsing
4Minute,Thailand,1차_Version_Name_Parsing
4Minute,Philippines,1차_Version_Name_Parsing
4Minute,Taiwan,1차_Version_Name_Parsing
4TEN,Promo,1차_Version_Name_Parsing
4TEN,Mwave,1차_Version_Name_Parsing
82Major,Card,1차_Version_Name_Parsing
82Major,Poca,1차_Version_Name_Parsing
82Major,Red,1차_Version_Name_Parsing
82Major,Be,1차_Version_Name_Parsing
82Major,Silence,1차_Version_Name_Parsing
82Major,Syndrome,1차_Version_Name_Parsing
82Major,Seokjoon,1차_Version_Name_Parsing
82Major,Yellow,1차_Version_Name_Parsing
82Major,At,1차_Version_Name_Parsing
82Major,Seongmo,1차_Version_Name_Parsing
82Major,Classic,1차_Version_Name_Parsing
82Major,Keyring,1차_Version_Name_Parsing
82Major,And,1차_Version_Name_Parsing
82Major,Signed,1차_Version_Name_Parsing
87dance,Jewel,1차_Version_Name_Parsing
87dance,Case,1차_Version_Name_Parsing
87dance,Colour,1차_Version_Name_Parsing
8TURN,Drift,1차_Version_Name_Parsing
8TURN,Minho,1차_Version_Name_Parsing
8TURN,Haemin,1차_Version_Name_Parsing
8TURN,Yungyu,1차_Version_Name_Parsing
8TURN,Myungho,1차_Version_Name_Parsing
8TURN,Poca,1차_Version_Name_Parsing
8TURN,Jaeyun,1차_Version_Name_Parsing
8TURN,Turn,1차_Version_Name_Parsing
8TURN,The,1차_Version_Name_Parsing
8TURN,Uncharted,1차_Version_Name_Parsing
8TURN,Seungheon,1차_Version_Name_Parsing
8TURN,Yoonsung,1차_Version_Name_Parsing
8TURN,Real,1차_Version_Name_Parsing
8TURN,Kyungmin,1차_Version_Name_Parsing
8TURN,Rise,1차_Version_Name_Parsing
9MUSES,Diary,1차_Version_Name_Parsing
9MUSES,Muses,1차_Version_Name_Parsing
9MUSES,Promo,1차_Version_Name_Parsing
9MUSES,Part,1차_Version_Name_Parsing
9MUSES,Album,1차_Version_Name_Parsing
9MUSES,Signed,1차_Version_Name_Parsing
9MUSES,Identity,1차_Version_Name_Parsing
A-JAX,Promo,1차_Version_Name_Parsing
A.C.E,My,1차_Version_Name_Parsing
A.C.E,Wow,1차_Version_Name_Parsing
A.C.E,Contactus,1차_Version_Name_Parsing
A.C.E,Kim,1차_Version_Name_Parsing
A.C.E,Season,1차_Version_Name_Parsing
A.C.E,In,1차_Version_Name_Parsing
A.C.E,Kang,1차_Version_Name_Parsing
A.C.E,Lost,1차_Version_Name_Parsing
A.C.E,Album,1차_Version_Name_Parsing
A.C.E,Moon,1차_Version_Name_Parsing
A.C.E,Lee,1차_Version_Name_Parsing
A.C.E,Day,1차_Version_Name_Parsing
A.C.E,Confusion,1차_Version_Name_Parsing
A.C.E,For,1차_Version_Name_Parsing
A.C.E,Donghun,1차_Version_Name_Parsing
A.C.E,Wander,1차_Version_Name_Parsing
A.C.E,Hope,1차_Version_Name_Parsing
A.C.E,Night,1차_Version_Name_Parsing
A.C.E,Byeongkwan,1차_Version_Name_Parsing
A.C.E,Daydream,1차_Version_Name_Parsing
A.C.E,Look,1차_Version_Name_Parsing
A.C.E,Stimulus,1차_Version_Name_Parsing
A.C.E,Truth,1차_Version_Name_Parsing
A.C.E,Choice,1차_Version_Name_Parsing
A.C.E,Search,1차_Version_Name_Parsing
A.C.E,Eclipse,1차_Version_Name_Parsing
A.C.E,Sun,1차_Version_Name_Parsing
A.C.E,All,1차_Version_Name_Parsing
A.C.E,Poca,1차_Version_Name_Parsing
A.C.E,The,1차_Version_Name_Parsing
A.C.E,Found,1차_Version_Name_Parsing
A.C.E,Yuchan,1차_Version_Name_Parsing
A.C.E,What,1차_Version_Name_Parsing
A.KOR,Promo,1차_Version_Name_Parsing
A2O May,Chained,1차_Version_Name_Parsing
A2O May,Fazed,1차_Version_Name_Parsing
A2O May,Stoppable,1차_Version_Name_Parsing
A2O May,Un,1차_Version_Name_Parsing
AB6IX,Poca,1차_Version_Name_Parsing
AB6IX,Donghyun,1차_Version_Name_Parsing
AB6IX,Case,1차_Version_Name_Parsing
AB6IX,Dongyun,1차_Version_Name_Parsing
AB6IX,Woojin,1차_Version_Name_Parsing
AB6IX,Japan,1차_Version_Name_Parsing
AB6IX,Woong,1차_Version_Name_Parsing
AB6IX,Jewel,1차_Version_Name_Parsing
AB6IX,Daehwi,1차_Version_Name_Parsing
AB6IX,On,1차_Version_Name_Parsing
AB6IX,Anime,1차_Version_Name_Parsing
AB6IX,Off,1차_Version_Name_Parsing
AEN,Everywhere,1차_Version_Name_Parsing
AEN,You,1차_Version_Name_Parsing
AEN,Junseo,1차_Version_Name_Parsing
AEN,Kaira,1차_Version_Name_Parsing
AEN,Jiyong,1차_Version_Name_Parsing
AEN,Haruto,1차_Version_Name_Parsing
AEN,Jewel,1차_Version_Name_Parsing
AEN,Bomin,1차_Version_Name_Parsing
AEN,Kyuhyun,1차_Version_Name_Parsing
AEN,Next,1차_Version_Name_Parsing
AEN,Always,1차_Version_Name_Parsing
AEN,Haru,1차_Version_Name_Parsing
AEN,To,1차_Version_Name_Parsing
AEONIT,Poca,1차_Version_Name_Parsing
aespa,Karina,1차_Version_Name_Parsing
aespa,Giselle,1차_Version_Name_Parsing
aespa,Japan,1차_Version_Name_Parsing
aespa,Smcu,1차_Version_Name_Parsing
aespa,Tell,1차_Version_Name_Parsing
aespa,Single,1차_Version_Name_Parsing
aespa,Winter,1차_Version_Name_Parsing
aespa,Future,1차_Version_Name_Parsing
aespa,Ningning,1차_Version_Name_Parsing
aespa,Capsule,1차_Version_Name_Parsing
aespa,Express,1차_Version_Name_Parsing
aespa,Can,1차_Version_Name_Parsing
aespa,Promo,1차_Version_Name_Parsing
aespa,Aespa,1차_Version_Name_Parsing
aespa,Smini,1차_Version_Name_Parsing
aespa,Culture,1차_Version_Name_Parsing
aespa,Burst,1차_Version_Name_Parsing
aespa,Family,1차_Version_Name_Parsing
aespa,The,1차_Version_Name_Parsing
aespa,Lemonade,1차_Version_Name_Parsing
aespa,Kiss,1차_Version_Name_Parsing
After School,Young,1차_Version_Name_Parsing
After School,Variety,1차_Version_Name_Parsing
After School,Lipstick,1차_Version_Name_Parsing
After School,Raina,1차_Version_Name_Parsing
After School,Video,1차_Version_Name_Parsing
After School,Deluxe,1차_Version_Name_Parsing
After School,Live,1차_Version_Name_Parsing
After School,Music,1차_Version_Name_Parsing
After School,Taiwan,1차_Version_Name_Parsing
After School,Jungah,1차_Version_Name_Parsing
After School,Nana,1차_Version_Name_Parsing
After School,Kaeun,1차_Version_Name_Parsing
AHOF,Jeongwoo,1차_Version_Name_Parsing
AHOF,Daisuke,1차_Version_Name_Parsing
AHOF,Woongki,1차_Version_Name_Parsing
AHOF,Steven,1차_Version_Name_Parsing
AHOF,Han,1차_Version_Name_Parsing
AHOF,Heart,1차_Version_Name_Parsing
AHOF,Group,1차_Version_Name_Parsing
