Group_Name,Reason
13Found,QID_NOT_FOUND
257,QID_NOT_FOUND
87dance,QID_NOT_FOUND
A2O May,QID_NOT_FOUND
ADORA,QID_NOT_FOUND
AEONIT,QID_NOT_FOUND
Ahn Yeeun,QID_NOT_FOUND
ALL'N,QID_NOT_FOUND
AmbiO,QID_NOT_FOUND
ARGON,QID_NOT_FOUND
AWU,QID_NOT_FOUND
Bae Jinyoung,QID_NOT_FOUND
Bang Yedam,QID_NOT_FOUND
BASTTIE,QID_NOT_FOUND
BE:MAX,QID_NOT_FOUND
Blah Blah,QID_NOT_FOUND
Burvey,QID_NOT_FOUND
can’t be blue,QID_NOT_FOUND
ChRocktikal,QID_NOT_FOUND
Cosmosy,QID_NOT_FOUND
DeVita,QID_NOT_FOUND
DIGNITY,QID_NOT_FOUND
Double 0ne,QID_NOT_FOUND
DPR,QID_NOT_FOUND
EMOTI:M,QID_NOT_FOUND
Feverse,QID_NOT_FOUND
For The More,QID_NOT_FOUND
Gitim,QID_NOT_FOUND
GRAY,QID_NOT_FOUND
H//PE PRINCESS,QID_NOT_FOUND
HANRORO,QID_NOT_FOUND
HEART OF WOMAN,QID_NOT_FOUND
Hebi,QID_NOT_FOUND
HISTORY,QID_NOT_FOUND
hrtz.wav,QID_NOT_FOUND
Hwang Minhyun,QID_NOT_FOUND
HyunA&DAWN,QID_NOT_FOUND
Hyunjun Hur,QID_NOT_FOUND
I (Cha Yoonji),QID_NOT_FOUND
I.MET.U,QID_NOT_FOUND
IRISÉ,QID_NOT_FOUND
Isaac Hong,QID_NOT_FOUND
Izykite,QID_NOT_FOUND
Jang Haneum,QID_NOT_FOUND
Jeon Youl,QID_NOT_FOUND
JI BLUE,QID_NOT_FOUND
Jung Seunghwan,QID_NOT_FOUND
JustB,QID_NOT_FOUND
Kang Hyewon,QID_NOT_FOUND
KANGDANIEL,QID_NOT_FOUND
Kik5o,QID_NOT_FOUND
Kik5o x AleXa,QID_NOT_FOUND
Kim Hyojong,QID_NOT_FOUND
Kim Jaehwan,QID_NOT_FOUND
Kim Woojin,QID_NOT_FOUND
Lee Dahye,QID_NOT_FOUND
Lee Junghyun,QID_NOT_FOUND
Lee Sujeong,QID_NOT_FOUND
LOVEONE,QID_NOT_FOUND
LU,QID_NOT_FOUND
LUCY,QID_NOT_FOUND
Luminous,QID_NOT_FOUND
MAKAMAKA,QID_NOT_FOUND
MAP6,QID_NOT_FOUND
MARMELLO,QID_NOT_FOUND
MILLENNIUM,QID_NOT_FOUND
Min Jiwoon,QID_NOT_FOUND
Moon Sujin,QID_NOT_FOUND
MW:MEU,QID_NOT_FOUND
Nchive,QID_NOT_FOUND
NOIR,QID_NOT_FOUND
owoon,QID_NOT_FOUND
Oyster,QID_NOT_FOUND
Papaya,QID_NOT_FOUND
Park Hyoshin,QID_NOT_FOUND
PRITTI-G,QID_NOT_FOUND
