Group_Name,Group_QID,Member_Name_EN,Member_Name_KO,Member_QID,Kind,Source
&TEAM,Q112834233,EJ,의주,Q127427815,GROUP,Wikidata_P463_P527
&TEAM,Q112834233,Fuma,,Q116226147,GROUP,Wikidata_P463_P527
&TEAM,Q112834233,Harua,,Q117746551,GROUP,Wikidata_P463_P527
&TEAM,Q112834233,Jo,죠,Q116226149,GROUP,Wikidata_P463_P527
&TEAM,Q112834233,K,,Q116226143,GROUP,Wikidata_P463_P527
&TEAM,Q112834233,Maki,,Q116226150,GROUP,Wikidata_P463_P527
&TEAM,Q112834233,Nicholas,왕이샹,Q104723121,GROUP,Wikidata_P463_P527
&TEAM,Q112834233,Taki,,Q120696543,GROUP,Wikidata_P463_P527
&TEAM,Q112834233,Yuma,,Q116226148,GROUP,Wikidata_P463_P527
100%,Q307482,Jang Hyuk-jin,혁진,Q16183318,GROUP,Wikidata_P463_P527
100%,Q307482,Jo Jong-hwan,조종환,Q134519415,GROUP,Wikidata_P463_P527
100%,Q307482,Kim Chan-yong,김찬용,Q134519525,GROUP,Wikidata_P463_P527
100%,Q307482,Kim Rock-hyun,록현,Q55729432,GROUP,Wikidata_P463_P527
100%,Q307482,Lee Sang-hoon,이상훈,Q16177982,GROUP,Wikidata_P463_P527
100%,Q307482,Seo Min-woo,서민우,Q12600918,GROUP,Wikidata_P463_P527
100%,Q307482,Woo Chang-bum,우창범,Q134519562,GROUP,Wikidata_P463_P527
10cm,Q493329,Kwon Jung-yeol,권정열,Q47541434,GROUP,Wikidata_P463_P527
14U,Q50374980,Loudi,로우디,Q56393596,GROUP,Wikidata_P463_P527
15&,Q491777,Baek Ye-rin,백예린,Q9021940,GROUP,Wikidata_P463_P527
15&,Q491777,Jamie,박지민,Q492065,GROUP,Wikidata_P463_P527
1TEAM,Q63724459,BC,BC,Q65052566,GROUP,Wikidata_P463_P527
1TEAM,Q63724459,Lee Jin-woo,진우,Q97339428,GROUP,Wikidata_P463_P527
1TEAM,Q63724459,Lee Jung-hoon,정훈,Q105706537,GROUP,Wikidata_P463_P527
1TEAM,Q63724459,Lee Ru-rin,이루빈,Q65052562,GROUP,Wikidata_P463_P527
1TEAM,Q63724459,Moon Je-hyun,제현,Q107109710,GROUP,Wikidata_P463_P527
1TYM,Q485884,Song Baek-kyeong,송백경,Q19657317,GROUP,Wikidata_P463_P527
1TYM,Q485884,Taebin,태빈,Q7674722,GROUP,Wikidata_P463_P527
1TYM,Q485884,Teddy Park,테디,Q7694067,GROUP,Wikidata_P463_P527
1the9,Q61652710,Kim Jun Seo,김준서,Q104723606,GROUP,Wikidata_P463_P527
1the9,Q61652710,Shin Ye-chan,예찬,Q115287775,GROUP,Wikidata_P463_P527
1the9,Q61652710,Yoo Yong-ha,유용하,Q105717556,GROUP,Wikidata_P463_P527
2AM,Q498701,Jo Kwon,조권,Q485667,GROUP,Wikidata_P463_P527
2AM,Q498701,Jung Jin-woon,정진운,Q624207,GROUP,Wikidata_P463_P527
2AM,Q498701,Lee Changmin,이창민,Q6781593,GROUP,Wikidata_P463_P527
2AM,Q498701,Lim Seul-ong,임슬옹,Q5244665,GROUP,Wikidata_P463_P527
2EYES,Q14298828,Jung Da-eun,정다은,Q55734060,GROUP,Wikidata_P463_P527
2NE1,Q171885,CL,CL,Q483683,GROUP,Wikidata_P463_P527
2NE1,Q171885,Minzy,공민지,Q483842,GROUP,Wikidata_P463_P527
2NE1,Q171885,Park Bom,박봄,Q494154,GROUP,Wikidata_P463_P527
2NE1,Q171885,Sandara Park,박산다라,Q496170,GROUP,Wikidata_P463_P527
2PM,Q222760,Hwang Chansung,찬성,Q496362,GROUP,Wikidata_P463_P527
2PM,Q222760,Jang Wooyoung,우영,Q488344,GROUP,Wikidata_P463_P527
2PM,Q222760,Jay Park,박재범,Q429046,GROUP,Wikidata_P463_P527
2PM,Q222760,Jun. K,Jun. K,Q484815,GROUP,Wikidata_P463_P527
2PM,Q222760,Lee Jun-ho,이준호,Q488423,GROUP,Wikidata_P463_P527
2PM,Q222760,Nichkhun,닉쿤,Q483288,GROUP,Wikidata_P463_P527
2PM,Q222760,Ok Taec-yeon,택연,Q483363,GROUP,Wikidata_P463_P527
3YE,Q65269682,Park Yu-rim,박유림,Q73799496,GROUP,Wikidata_P463_P527
3YE,Q65269682,Son Yu-ji,손유지,Q47973704,GROUP,Wikidata_P463_P527
3YE,Q65269682,Yoon Ha-eun,윤하은,Q73800425,GROUP,Wikidata_P463_P527
4Minute,Q39682,Heo Ga-yoon,허가윤,Q485698,GROUP,Wikidata_P463_P527
4Minute,Q39682,Hyuna,현아,Q234066,GROUP,Wikidata_P463_P527
4Minute,Q39682,Jeon Ji-yoon,전지윤,Q491612,GROUP,Wikidata_P463_P527
4Minute,Q39682,Kwon So-hyun,권소현,Q485511,GROUP,Wikidata_P463_P527
4Minute,Q39682,Nam Ji-hyun,손지현,Q486483,GROUP,Wikidata_P463_P527
82Major,Q125200744,윤예찬,윤예찬,Q124961641,GROUP,Wikidata_P463_P527
8TURN,Q116813012,Cho Kyungmin,조경민,Q116937218,GROUP,Wikidata_P463_P527
9MUSES,Q498385,Bini,비니,Q16083125,GROUP,Wikidata_P463_P527
9MUSES,Q498385,Euaerin,이유애린,Q12612291,GROUP,Wikidata_P463_P527
9MUSES,Q498385,Gyeongree,경리,Q16080053,GROUP,Wikidata_P463_P527
9MUSES,Q498385,Jo Sojin,소진,Q19657310,GROUP,Wikidata_P463_P527
9MUSES,Q498385,Kim Ra-na,김라나,Q12587301,GROUP,Wikidata_P463_P527
9MUSES,Q498385,Lee Keum-jo,이금조,Q19657173,GROUP,Wikidata_P463_P527
9MUSES,Q498385,Moon Hyun-ah,현아,Q19794442,GROUP,Wikidata_P463_P527
9MUSES,Q498385,Park Eun-ji,은지,Q16090686,GROUP,Wikidata_P463_P527
9MUSES,Q498385,Pyo Hye-mi,표혜미,Q16092552,GROUP,Wikidata_P463_P527
9MUSES,Q498385,Ryu Se-ra,류세라,Q7385484,GROUP,Wikidata_P463_P527
A-JAX,Q492271,Ham Seung-jin,함승진,Q66629482,GROUP,Wikidata_P463_P527
A-JAX,Q492271,Jo Joong-hee,중희,Q97239593,GROUP,Wikidata_P463_P527
A-JAX,Q492271,Kim Hyeong-kon,형곤,Q16070940,GROUP,Wikidata_P463_P527
A-JAX,Q492271,Lee Seung-yeop,승엽,Q9205048,GROUP,Wikidata_P463_P527
A-JAX,Q492271,Maeng Yun-young,맹윤영,Q9126881,GROUP,Wikidata_P463_P527
A-JAX,Q492271,Moon Ji-hoo,문지후,Q9144894,GROUP,Wikidata_P463_P527
A-JAX,Q492271,Park Sung-min,성민,Q9194275,GROUP,Wikidata_P463_P527
A-JAX,Q492271,Seo Jae-hyung,서재형,Q9188714,GROUP,Wikidata_P463_P527
