SKU_ID,Group_Name,Member_Name,Album_Version,Card_Title,Image_URL,US_Market_Price,JP_Market_Price,eBay_Aff_Link,Yahoo_Aff_Link,Condition_Grade,Last_Updated,Album_Cover_URL
PE-KIS-10000,KISEO,Unknown,Standard,KISEO Unknown Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=KISEO+Unknown+photocard,https://auctions.yahoo.co.jp/search/search?p=KISEO+Unknown+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/a70cb514-a493-469b-9061-a33ddf790afd/front-250
PE-FRA-10001,FRAME THE X,Unknown,Standard,FRAME THE X Unknown Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=FRAME THE X+Unknown+photocard,https://auctions.yahoo.co.jp/search/search?p=FRAME THE X+Unknown+photocard,Ungraded,2026-08-09,
PE-KIS-10002,KISEO,Unknown,Standard,KISEO Unknown Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=KISEO+Unknown+photocard,https://auctions.yahoo.co.jp/search/search?p=KISEO+Unknown+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/a70cb514-a493-469b-9061-a33ddf790afd/front-250
PE-KIS-10003,KISEO,Unknown,Standard,KISEO Unknown Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=KISEO+Unknown+photocard,https://auctions.yahoo.co.jp/search/search?p=KISEO+Unknown+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/a70cb514-a493-469b-9061-a33ddf790afd/front-250
PE-KIS-10004,KISEO,Unknown,Standard,KISEO Unknown Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=KISEO+Unknown+photocard,https://auctions.yahoo.co.jp/search/search?p=KISEO+Unknown+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/a70cb514-a493-469b-9061-a33ddf790afd/front-250
PE-FRA-10005,FRAME THE X,Unknown,Standard,FRAME THE X Unknown Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=FRAME THE X+Unknown+photocard,https://auctions.yahoo.co.jp/search/search?p=FRAME THE X+Unknown+photocard,Ungraded,2026-08-09,
PE-EXI-10006,EXID, Ahn Hyo-jin,Standard,EXID  Ahn Hyo-jin Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=EXID+ Ahn Hyo-jin+photocard,https://auctions.yahoo.co.jp/search/search?p=EXID+ Ahn Hyo-jin+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/c5313138-c908-4c14-8581-3060a9f39c05/front-250
PE-LOO-10007,LOONA, Choi Ye-Rim ,Standard,LOONA  Choi Ye-Rim  Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=LOONA+ Choi Ye-Rim +photocard,https://auctions.yahoo.co.jp/search/search?p=LOONA+ Choi Ye-Rim +photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/4470d915-183b-4222-95cb-c523ef646406/front-250
PE-TOZ-10008,TOZ, Iinuma Anthonny ,Standard,TOZ  Iinuma Anthonny  Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=TOZ+ Iinuma Anthonny +photocard,https://auctions.yahoo.co.jp/search/search?p=TOZ+ Iinuma Anthonny +photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/21b922f3-e30f-4730-ba7b-1b2ae423fcca/front-250
PE-ADY-10009,ADYA, Im Ye-na,Standard,ADYA  Im Ye-na Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=ADYA+ Im Ye-na+photocard,https://auctions.yahoo.co.jp/search/search?p=ADYA+ Im Ye-na+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/b2af57ce-b202-4f57-9771-8ac77155cc1e/front-250
