동(Group),호수(Album/Era),방(Member),가구ID(CardID),가구종류(CardType),발매처/특전(Manufacturer),비주얼태그(VisualTags),예상가격KRW(EstimatedPrice),역대최고가KRW(HighestPrice),희귀도(Rarity),보유상태(IsOwned),인증여부(IsVerified),위시수(WishCount),조회수(ViewCount)
SEVENTEEN,God's Menu Era,Seungkwan,card-0,Standard,Big Hit Entertainment,만두볼콕/안경선배,125000,450000,SSR,Yes,Yes,1234,3456
SEVENTEEN,God's Menu Era,DK,card-1,Hologram,Big Hit Entertainment,인형모자/흑발냉미녀,275000,789000,UR,No,Yes,2156,5432
SEVENTEEN,God's Menu Era,Jeonghan,card-2,Emboss,Big Hit Entertainment,전설의미공포/역대최고가,350000,950000,Mythic,Yes,No,3456,7654
SEVENTEEN,God's Menu Era,Joshua,card-3,Glitter,Big Hit Entertainment,급상승/교복착장,85000,320000,Normal,No,No,456,1234
SEVENTEEN,God's Menu Era,Jun,card-4,Special Edition,Big Hit Entertainment,캐주얼룩/레전드미공포,425000,1250000,SSR,Yes,Yes,4123,8901
SEVENTEEN,SEVENTEEN Era,Hoshi,card-5,Standard,Big Hit Entertainment,만두볼콕/안경선배,195000,550000,UR,No,Yes,1789,4567
SEVENTEEN,SEVENTEEN Era,Seungkwan,card-6,Hologram,Big Hit Entertainment,인형모자/흑발냉미녀,310000,850000,Mythic,Yes,Yes,2987,6543
SEVENTEEN,SEVENTEEN Era,DK,card-7,Emboss,Big Hit Entertainment,전설의미공포/역대최고가,125000,400000,Normal,No,No,567,2345
SEVENTEEN,Maestro Era,Jeonghan,card-8,Glitter,Big Hit Entertainment,급상승/교복착장,265000,725000,SSR,Yes,No,2134,5678
SEVENTEEN,Maestro Era,Joshua,card-9,Special Edition,Big Hit Entertainment,캐주얼룩/레전드미공포,380000,1100000,UR,No,Yes,3456,7890
Stray Kids,God's Menu Era,Felix,card-10,Standard,Big Hit Entertainment,만두볼콕/안경선배,215000,600000,Mythic,Yes,Yes,2876,6789
